id,produto,modelo,sku,valor,estoque,status
168,"Alargador Manual DIN 206B HSS-M2 H7 - Ø10,0mm",alargador-man,"alargador-man-10,0mm",0.0000,999,ativo
169,"Alargador Manual DIN 206B HSS-M2 H7 - Ø10,5mm",alargador-man,"alargador-man-10,5mm",0.0000,999,ativo
170,"Alargador Manual DIN 206B HSS-M2 H7 - Ø11,0mm",alargador-man,"alargador-man-11,0mm",0.0000,999,ativo
171,"Alargador Manual DIN 206B HSS-M2 H7 - Ø12,0mm",alargador-man,"alargador-man-12,0mm",0.0000,999,ativo
172,"Alargador Manual DIN 206B HSS-M2 H7 - Ø13,0mm",alargador-man,"alargador-man-13,0mm",0.0000,999,ativo
173,"Alargador Manual DIN 206B HSS-M2 H7 - Ø14,0mm",alargador-man,"alargador-man-14,0mm",0.0000,999,ativo
174,"Alargador Manual DIN 206B HSS-M2 H7 - Ø15,0mm",alargador-man,"alargador-man-15,0mm",0.0000,999,ativo
175,"Alargador Manual DIN 206B HSS-M2 H7 - Ø16,0mm",alargador-man,"alargador-man-16,0mm",0.0000,999,ativo
176,"Alargador Manual DIN 206B HSS-M2 H7 - Ø17,0mm",alargador-man,"alargador-man-17,0mm",0.0000,999,ativo
177,"Alargador Manual DIN 206B HSS-M2 H7 - Ø18,0mm",alargador-man,"alargador-man-18,0mm",0.0000,999,ativo
178,"Alargador Manual DIN 206B HSS-M2 H7 - Ø19,0mm",alargador-man,"alargador-man-19,0mm",0.0000,999,ativo
152,"Alargador Manual DIN 206B HSS-M2 H7 - Ø2,0mm",alargador-man,"alargador-man-2,0mm",0.0000,999,ativo
153,"Alargador Manual DIN 206B HSS-M2 H7 - Ø2,5mm",alargador-man,"alargador-man-2,5mm",0.0000,999,ativo
179,"Alargador Manual DIN 206B HSS-M2 H7 - Ø20,0mm",alargador-man,"alargador-man-20,0mm",0.0000,999,ativo
154,"Alargador Manual DIN 206B HSS-M2 H7 - Ø3,0mm",alargador-man,"alargador-man-3,0mm",0.0000,999,ativo
155,"Alargador Manual DIN 206B HSS-M2 H7 - Ø3,5mm",alargador-man,"alargador-man-3,5mm",0.0000,999,ativo
156,"Alargador Manual DIN 206B HSS-M2 H7 - Ø4,0mm",alargador-man,"alargador-man-4,0mm",0.0000,999,ativo
157,"Alargador Manual DIN 206B HSS-M2 H7 - Ø4,5mm",alargador-man,"alargador-man-4,5mm",0.0000,999,ativo
158,"Alargador Manual DIN 206B HSS-M2 H7 - Ø5,0mm",alargador-man,"alargador-man-5,0mm",0.0000,999,ativo
159,"Alargador Manual DIN 206B HSS-M2 H7 - Ø5,5mm",alargador-man,"alargador-man-5,5mm",0.0000,999,ativo
160,"Alargador Manual DIN 206B HSS-M2 H7 - Ø6,0mm",alargador-man,"alargador-man-6,0mm",0.0000,999,ativo
161,"Alargador Manual DIN 206B HSS-M2 H7 - Ø6,5mm",alargador-man,"alargador-man-6,5mm",0.0000,999,ativo
162,"Alargador Manual DIN 206B HSS-M2 H7 - Ø7,0mm",alargador-man,"alargador-man-7,0mm",0.0000,999,ativo
163,"Alargador Manual DIN 206B HSS-M2 H7 - Ø7,5mm",alargador-man,"alargador-man-7,5mm",0.0000,999,ativo
164,"Alargador Manual DIN 206B HSS-M2 H7 - Ø8,0mm",alargador-man,"alargador-man-8,0mm",0.0000,999,ativo
165,"Alargador Manual DIN 206B HSS-M2 H7 - Ø8,5mm",alargador-man,"alargador-man-8,5mm",0.0000,999,ativo
166,"Alargador Manual DIN 206B HSS-M2 H7 - Ø9,0mm",alargador-man,"alargador-man-9,0mm",0.0000,999,ativo
167,"Alargador Manual DIN 206B HSS-M2 H7 - Ø9,5mm",alargador-man,"alargador-man-9,5mm",0.0000,999,ativo
